factor,family,meanIC,ICt,ICIR,n_months,spread_ann,net_spread_ann,longonly_ann,monotonic,turnover,IC_h1,IC_h2,IC_h3
EP,Value,0.037746951804716516,2.2694399955513447,0.363401236659062,39,0.11920455470978115,0.11418107292840463,0.05719204899239996,False,0.0837246963562753,0.037746951804716516,0.040830154157892665,0.03752143441683885
BP,Value,0.031163951897661545,1.4003186513073342,0.22423044037267298,39,0.20627363721666425,0.20101902340941885,0.10513185747381133,False,0.08757689678742313,0.031163951897661545,0.02964927191394778,0.027903803631525996
SP,Value,0.016442893161528572,1.146831547927647,0.1836400184950844,39,0.12612917941720958,0.12338652733245223,0.05208197885403201,False,0.04571086807928913,0.016442893161528572,0.019376766613522518,0.024832020991377716
OP,Quality,0.015171008835266505,0.6811501557331667,0.10907131690159957,39,-0.0831727551866428,-0.0853334200065874,-0.04256312622367314,False,0.03601108033240998,0.015171008835266505,0.020881305761062684,0.019942919178754265
GP,Quality,-0.017108966455453515,-0.7268181677014822,-0.11638405134603455,39,-0.0571560403384134,-0.05861033396722226,-0.010969861384981294,False,0.02423822714681441,-0.017108966455453515,-0.014120370272990854,-0.012056007188351243
ROE,Quality,0.01544129790124075,0.678847142601361,0.10870253966061466,39,-0.07017207538280995,-0.07233274020275454,-0.04263289500666854,False,0.03601108033240998,0.01544129790124075,0.020555814594983905,0.021917025665443922
ROA,Quality,-0.004870920230600516,-0.24580919117937286,-0.039360971971874686,39,-0.07886812183326486,-0.08040551795514853,-0.023110787838056833,False,0.025623268698060947,-0.004870920230600516,-0.0017540955720229533,-0.000864998525466159
LEV,Quality,-0.004426279750493502,-0.26442808322819744,-0.04234238078154918,39,-0.012928972627697127,-0.013926202544594634,-0.018890263287849436,False,0.016620498614958453,-0.004426279750493502,-0.010195237204861074,-0.002680393524749927
AG,Quality,-0.008500363344908038,-0.4204615973942918,-0.08245930345499566,26,-0.08511647141034967,-0.08953752404192862,-0.005606919536016511,False,0.07368421052631581,-0.008500363344908038,0.003140248502919845,0.005590762963868867
MOM,Momentum,-0.006166178994376168,-0.4523426048757379,-0.0414661786031415,119,-0.0364534386778584,-0.050833434641344946,-0.028578213327811602,False,0.23966659939144236,-0.006166178994376168,-0.005872064561946289,-0.011546780013813472
REV,Momentum,-0.004527833335954653,-0.3621968081203048,-0.031889650797777044,129,-0.018962281986860244,-0.0642386409805683,-0.0014778453918010137,False,0.7546059832284675,-0.004527833335954653,0.007965153027032627,-0.007416502811297223
PH52,Momentum,0.00300847747189277,0.18802800298838865,0.01655494256457239,129,-0.035280127485744356,-0.05395091355852567,-0.014012805827269964,False,0.3111797678796886,0.00300847747189277,0.009230528556339164,0.007544212723186565
BETA,Risk,0.016990201533484857,0.8382011774714597,0.07408721707357724,128,-0.007200944625750494,-0.01267131629729365,-0.004359656133403597,False,0.09117286119238592,0.016990201533484857,0.016833123082894214,0.013185105529688849
IVOL,Risk,0.029327032108848357,2.404778581185226,0.2125544052510297,128,0.007246155487081768,-0.0037492106914716276,0.008819635620522903,False,0.18325610297588993,0.029327032108848357,0.02151441812458281,0.01551415734292112
MAX,Risk,0.00923941196936595,0.679856420850165,0.06032750205097348,127,-0.0425056529023537,-0.07802777448748847,-0.01712056056430726,False,0.5920353597522463,0.00923941196936595,0.028035585546234712,0.01684407509867729
SKEW,Risk,0.011028150357228325,1.0645168581685371,0.0937254832573394,129,0.019156677944114242,0.00034010016002082675,0.006989964353971118,False,0.31360962973489026,0.011028150357228325,-0.0009807557531363682,-0.0005271526480588608
SIZE,Liquidity,0.013511718595929876,1.2143564131796418,0.10691812045863493,129,0.08232277082533615,0.07730504604455385,0.05645583081892276,False,0.08362874634637164,0.013511718595929876,0.014769727262820442,0.015153555201798183
TURN,Liquidity,0.02482401198560735,1.7001385651861975,0.14968885405973334,129,0.06746862406357328,0.06401859571258947,0.035698590791544846,False,0.0575004725163967,0.02482401198560735,0.021623127518835165,0.02065420906130883
ILLIQ,Liquidity,-0.007941931635465773,-0.5920781353735513,-0.05212957309052286,129,-0.04105964117009833,-0.044675236552055325,-0.02335448039728627,False,0.060259923032616514,-0.007941931635465773,-0.007705373097736521,-0.009512035568390264
ZERORET,Liquidity,-0.015400913956440315,-1.1709920213816993,-0.10310009865255915,129,-0.07368502317839111,-0.08344899633159661,-0.024627253908604166,False,0.16273288588675816,-0.015400913956440315,-0.015901878399127104,-0.012512328459689486
